code,name,market,종가,등락률,거래대금,시가총액
357580,아모센스,KOSDAQ,6750,-6.12,1408000000,79580893500
466100,클로봇,KOSDAQ,23150,-1.28,1406000000,716579057850
101730,위메이드맥스,KOSDAQ,4810,4.91,1403000000,403093805660
357880,SKAI,KOSDAQ,1943,4.13,1402000000,105321914089
074600,원익QnC,KOSDAQ,28500,2.52,1378000000,749208000000
488280,에스투더블유,KOSDAQ,14420,-0.21,1377000000,156103508120
237690,에스티팜,KOSDAQ,91500,-1.29,1373000000,1910212377000
035510,신세계 I&C,KOSPI,15690,0.13,1369000000,219360321000
357780,솔브레인,KOSDAQ,335500,1.36,1368000000,2609708893000
372910,한컴라이프케어,KOSPI,2135,1.18,1365000000,59084856810
425040,티이엠씨,KOSDAQ,10290,0.29,1346000000,225586620420
214150,클래시스,KOSDAQ,30750,-1.76,1336000000,2005996514250
403850,더핑크퐁컴퍼니,KOSDAQ,12980,7.27,1329000000,186276109800
008770,호텔신라,KOSPI,40300,-1.23,1329000000,1581699276300
048410,현대바이오,KOSDAQ,6840,0.59,1322000000,660098112480
457190,이수스페셜티케미컬,KOSPI,64700,-0.61,1322000000,1955161018400
494220,UNICORN SK하이닉스밸류체인액티브,KOSPI,50205,2.9,1315000000,175717500000
181710,NHN,KOSPI,56400,-0.53,1311000000,1823353626000
491000,리브스메드,KOSDAQ,30200,1.17,1308000000,762709184200
